Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
208,19.85238095,Verse,M,Main,R,E1,L2,W3
,,,,,,,,
208,85.61455782,Chorus,M,Feat,S,E2,L4,W5
,,,,,,,,
209,10.37622917,Verse,W,Main,S,E1,L1,W2
,,,,,,,,
209,50.72977083,Chorus,W,Main,S,E1,L1,W2
,,,,,,,,
210,19.76947846,Verse,M,Main,S,E1,L3,W3
,,,,,,,,
210,132.5850567,Chorus,M,Feat,S,E1,L4,W5
,,,,,,,,
211,17.12445833,Verse,W,Main,S,E2,L1,W4
,,,,,,,,
211,68.57410417,Chorus,W,Main,S,E1,L1,W4
,,,,,,,,
